# P1 解析路径孔半径跳变归因 慢探针，支 V3_规则A关；开跑 2026-09-23 19:05:43；Linux 镜像 net8.0（预跑，待 Windows 重录）；树 wtP1 = d6ae1f6（detached），生产代码未改；4 核机器、另有子代理同机（争用下量得）
# 例 0 盘Ø56 片1（rh 25.8）hFine 2 hCoarse 11 细区半径 50 内带 0/0 压接长 40；iA 1572.1 tRoot 1107.8 tSet 1080 clamp 450 tabInsul 2.8
# 例 0 x节点(|x|<=30) -30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
# 例 0 z节点(|z|<=30) -28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
例	r	Qtube	Qgen	格数	并格A	并格B	弧面数	孔面总长	带格数	带格最小覆盖率	带格最小面积	全网最小面积	覆盖率	最热格T	最热格x	最热格z	最热格i	Tmin	迭代状态
0	25.830	26.62637850800401	451.9501371354061	928	0	0	100	162.29467648444873	100	0.010288583371202531	0.041154333484810124	0.030310981213540235	1.0000000000000002	1107.9708983495302	-27.000000000000007	1	686	450	ok
0	25.835	26.625802913215832	451.91363245244025	928	0	0	100	162.3260924109846	100	0.009689020098389256	0.038756080393557026	0.030310981213540235	0.9999999999999998	1107.9716728190665	-26.999999999999996	1	686	450	ok
0	25.840	26.6251985992405	451.8771531361817	928	0	0	100	162.3575083375205	100	0.009107652051157456	0.03643060820462982	0.030310981213540235	1	1107.9724598955602	-27.000000000000004	1	686	450	ok
0	25.845	26.62456161998074	451.84070324294976	928	0	0	100	162.3889242640564	100	0.008544460060887592	0.03417784024355037	0.030310981213540235	1.0000000000000002	1107.9732604848934	-26.99999999999999	1	686	450	ok
0	25.850	26.62357153766299	451.8046037240586	928	0	0	100	162.42034019059233	100	0.007999425043184722	0.03199770017273889	0.030310981213540235	1	1107.9740757716438	-27	1	686	450	ok
0	25.855	26.622870364077166	451.76821192216	928	0	0	100	162.45175611712816	100	0.007472527997297041	0.029890111989188162	0.029890111989188162	0.9999999999999997	1107.9749064616767	-27.000000000000007	1	686	450	ok
0	25.860	26.622122794513803	451.731863725393	928	0	0	100	162.48317204366404	100	0.006963750005539345	0.02785500002215738	0.02785500002215738	0.9999999999999997	1107.975753984197	-26.999999999999986	1	686	450	ok
0	25.865	26.62132298354347	451.6955652376407	928	0	0	100	162.51458797019998	100	0.00647307223272428	0.02589228893089712	0.02589228893089712	1	1107.9766196984983	-27.000000000000004	1	686	450	ok
0	25.870	26.620464199575242	451.6593232458802	928	0	0	100	162.54600389673587	100	0.006000475925595441	0.024001903702381765	0.024001903702381765	0.9999999999999998	1107.977505154785	-27	1	686	450	ok
0	25.875	26.619539343248142	451.6231453142517	928	0	0	100	162.57741982327178	100	0.005545942412271924	0.022183769649087696	0.022183769649087696	1	1107.978412060798	-27.00000000000001	1	686	450	ok
0	25.880	26.61854012063392	451.5870399485187	928	0	0	100	162.6088357498077	100	0.00510945310168966	0.02043781240675864	0.02043781240675864	1	1107.9793423858766	-26.999999999999993	-1	685	450	ok
0	25.885	26.617457247752778	451.55101675649456	928	0	0	100	162.64025167634355	100	0.0046909894830548795	0.018763957932219518	0.018763957932219518	0.9999999999999997	1107.9802983702962	-26.999999999999993	1	686	450	ok
0	25.890	26.616280308156522	451.51508666192814	928	0	0	100	162.67166760287952	100	0.0042905331253017525	0.01716213250120701	0.01716213250120701	1.0000000000000002	1107.9812825757951	-27	1	686	450	ok
0	25.895	26.614997252079863	451.4792621798102	928	0	0	100	162.7030835294154	100	0.003908065676549981	0.015632262706199922	0.015632262706199922	1.0000000000000002	1107.9822979738246	-27	1	686	450	ok
0	25.900	26.613594235156846	451.4435577497596	928	0	0	100	162.73449945595127	100	0.003543568863574909	0.014174275454299636	0.014174275454299636	1	1107.9833480183115	-27.000000000000014	1	686	450	ok
0	25.905	26.612055159769774	451.40799016707433	928	0	0	100	162.76591538248712	100	0.003197024491275936	0.012788097965103743	0.012788097965103743	0.9999999999999997	1107.9844367585888	-27.000000000000004	1	686	450	ok
0	25.910	26.610361216604034	451.3725791323516	928	0	0	100	162.797331309023	100	0.002868414442154803	0.011473657768619212	0.011473657768619212	0.9999999999999994	1107.9855689718318	-27.000000000000004	1	686	450	ok
0	25.915	26.608489991640486	451.33734797238156	928	0	0	100	162.82874723555898	100	0.002557720675795692	0.010230882703182767	0.010230882703182767	1	1107.986750356945	-26.999999999999993	1	686	450	ok
0	25.920	26.606323133817053	451.30241644441764	928	0	0	100	162.86016316209492	100	0.0022649252283505196	0.009059700913402078	0.009059700913402078	1.0000000000000002	1107.9879877611445	-27	1	686	450	ok
0	25.925	26.604018288582996	451.26762825810835	928	0	0	100	162.89157908863086	100	0.0019900102120314913	0.007960040848125965	0.007960040848125965	1.0000000000000004	1107.9892894174006	-26.999999999999993	1	686	450	ok
0	25.930	26.601437999670885	451.2331228536251	928	0	0	100	162.92299501516666	100	0.001732957814603797	0.006931831258415188	0.006931831258415188	1	1107.9906654722085	-26.99999999999999	1	686	450	ok
0	25.935	26.598533827080402	451.1989511345268	928	0	0	100	162.95441094170255	100	0.0014937502988873058	0.005975001195549223	0.005975001195549223	1	1107.9921284246789	-27.00000000000001	-1	685	450	ok
0	25.940	26.59524477278012	451.1651768847838	928	0	0	100	162.98582686823846	100	0.001272370002259936	0.005089480009039744	0.005089480009039744	1	1107.9936939161921	-26.999999999999996	1	686	450	ok
0	25.945	26.591493939241698	451.13188116177065	928	0	0	100	163.01724279477443	100	0.0010687993361680824	0.004275197344672329	0.004275197344672329	1.0000000000000004	1107.9953816517375	-26.99999999999999	1	686	450	ok
