R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
49	22	24	30	1042.975383
50	24	26	41	1043.084459
51	26	28	51.375	1042.973533
52	28	30	27.375	1042.592291
── 设定点 1000 °C　夹头 450 °C　片 1「HC1|HC2」　T管根 1039.0993 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	492.916766
5	-96.165678	-85.165678	660	644.18029
6	-85.165678	-75.51206	579.21708	798.642925
7	-75.51206	-68.0862	445.5516	890.992842
8	-68.0862	-62.374	342.732	944.559536
9	-62.374	-57.98	263.64	976.904369
10	-57.98	-54.6	202.8	997.127647
11	-54.6	-52	156	1010.157074
12	-52	-50	120	1018.774073
13	-50	-48	120	1025.366422
14	-48	-46	120	1031.088679
15	-46	-44	120	1035.966037
16	-44	-42	120	1040.018273
17	-42	-40	120	1043.25894
18	-40	-38	120	1045.694141
19	-38	-36	120	1047.320669
20	-36	-34	120	1048.123164
21	-34	-32	120	1048.069722
22	-32	-30	120	1047.104981
23	-30	-28	120	1045.136342
24	-28	-26	120	1041.69449
25	-26	-24	94.875	1037.762825
26	-24	-22	73.125	1034.819728
27	-22	-20	60.125	1032.988142
28	-20	-18	51	1032.145781
29	-18	-16	43	1031.930251
30	-16	-14	36.25	1032.288644
31	-14	-12	30.625	1033.056399
32	-12	-10	26.5	1034.109062
33	-10	-8	23.125	1035.331106
34	-8	-6	20.75	1036.400479
35	-6	-4	19	1037.286448
36	-4	-2	16	1037.873428
37	-2	0	16	1038.281082
38	0	2	15.125	1038.525456
39	2	4	15	1038.588445
40	4	6	17.25	1038.613769
41	6	8	17.5	1038.609322
42	8	10	17.375	1038.621339
43	10	12	17.625	1038.614471
44	12	14	18.875	1038.616287
45	14	16	19.375	1038.634853
46	16	18	22	1038.610086
47	18	20	23.875	1038.605298
48	20	22	25	1038.616849
49	22	24	30	1038.628494
50	24	26	41	1038.6633
51	26	28	51.375	1038.624175
52	28	30	27.375	1038.493704
── 设定点 1000 °C　夹头 450 °C　片 2「出口」　T管根 1078.4523 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	537.187237
5	-96.165678	-85.165678	660	818.101803
6	-85.165678	-75.51206	579.21708	1020.291486
7	-75.51206	-68.0862	445.5516	1105.292066
8	-68.0862	-62.374	342.732	1142.159742
9	-62.374	-57.98	263.64	1159.452921
10	-57.98	-54.6	202.8	1167.893629
11	-54.6	-52	156	1172.002992
12	-52	-50	120	1173.893137
13	-50	-48	120	1174.72613
14	-48	-46	120	1174.760904
15	-46	-44	120	1173.986802
16	-44	-42	120	1172.367853
17	-42	-40	120	1169.838854
18	-40	-38	120	1166.299235
19	-38	-36	120	1161.603722
20	-36	-34	120	1155.548325
21	-34	-32	120	1147.849309
22	-32	-30	120	1138.111236
23	-30	-28	120	1125.763554
24	-28	-26	120	1107.515279
25	-26	-24	94.875	1089.004435
26	-24	-22	73.125	1075.306486
27	-22	-20	60.125	1065.602241
28	-20	-18	51	1059.808872
29	-18	-16	43	1056.673485
30	-16	-14	36.25	1055.988533
31	-14	-12	30.625	1057.214974
32	-12	-10	26.5	1059.966485
33	-10	-8	23.125	1063.861986
34	-8	-6	20.75	1067.571423
35	-6	-4	19	1070.881779
36	-4	-2	16	1073.174643
37	-2	0	16	1074.850328
38	0	2	15.125	1075.89237
39	2	4	15	1076.191547
40	4	6	17.25	1076.32538
41	6	8	17.5	1076.308787
42	8	10	17.375	1076.349852
43	10	12	17.625	1076.312152
44	12	14	18.875	1076.325146
45	14	16	19.375	1076.417172
46	16	18	22	1076.329245
47	18	20	23.875	1076.322134
48	20	22	25	1076.360383
49	22	24	30	1076.391728
50	24	26	41	1076.528521
51	26	28	51.375	1076.384076
52	28	30	27.375	1075.892014
── 设定点 1080 °C　夹头 100 °C　片 0「入口」　T管根 1118.8426 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	196.328831
5	-96.165678	-85.165678	660	531.968135
6	-85.165678	-75.51206	579.21708	830.151993
7	-75.51206	-68.0862	445.5516	976.948682
8	-68.0862	-62.374	342.732	1049.026222
9	-62.374	-57.98	263.64	1087.192457
10	-57.98	-54.6	202.8	1108.735418
11	-54.6	-52	156	1121.529721
12	-52	-50	120	1129.440893
13	-50	-48	120	1135.154577
14	-48	-46	120	1139.792459
15	-46	-44	120	1143.423663
16	-44	-42	120	1146.096274
17	-42	-40	120	1147.835469
18	-40	-38	120	1148.64013
19	-38	-36	120	1148.477232
20	-36	-34	120	1147.27289
21	-34	-32	120	1144.898275
22	-32	-30	120	1141.147374
23	-30	-28	120	1135.690622
24	-28	-26	120	1126.062443
25	-26	-24	94.875	1113.183114
26	-24	-22	73.125	1103.444434
27	-22	-20	60.125	1097.462271
28	-20	-18	51	1094.769507
29	-18	-16	43	1094.056152
30	-16	-14	36.25	1095.171892
31	-14	-12	30.625	1097.572901
32	-12	-10	26.5	1100.974137
33	-10	-8	23.125	1105.103697
34	-8	-6	20.75	1108.787764
35	-6	-4	19	1111.949048
36	-4	-2	16	1114.106254
37	-2	0	16	1115.649875
38	0	2	15.125	1116.588881
39	2	4	15	1116.861015
40	4	6	17.25	1116.981148
41	6	8	17.5	1116.96891
42	8	10	17.375	1117.006756
43	10	12	17.625	1116.975881
44	12	14	18.875	1116.986527
45	14	16	19.375	1117.063547
46	16	18	22	1116.982975
47	18	20	23.875	1116.973516
48	20	22	25	1117.008459
49	22	24	30	1117.040921
50	24	26	41	1117.163621
51	26	28	51.375	1117.038821
52	28	30	27.375	1116.609938
── 设定点 1080 °C　夹头 100 °C　片 1「HC1|HC2」　T管根 1087.8963 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	161.685783
5	-96.165678	-85.165678	660	385.856601
6	-85.165678	-75.51206	579.21708	631.562083
7	-75.51206	-68.0862	445.5516	784.911384
8	-68.0862	-62.374	342.732	876.512424
9	-62.374	-57.98	263.64	933.27324
10	-57.98	-54.6	202.8	969.695782
11	-54.6	-52	156	993.800437
12	-52	-50	120	1010.182697
13	-50	-48	120	1023.055522
14	-48	-46	120	1034.616051
15	-46	-44	120	1044.91683
16	-44	-42	120	1054.003792
17	-42	-40	120	1061.915176
18	-40	-38	120	1068.680012
19	-38	-36	120	1074.315902
20	-36	-34	120	1078.825688
21	-34	-32	120	1082.192361
22	-32	-30	120	1084.371076
23	-30	-28	120	1085.273212
24	-28	-26	120	1084.291194
25	-26	-24	94.875	1081.119536
26	-24	-22	73.125	1078.685416
27	-22	-20	60.125	1077.588404
28	-20	-18	51	1077.530991
29	-18	-16	43	1078.016222
30	-16	-14	36.25	1079.002592
31	-14	-12	30.625	1080.299468
32	-12	-10	26.5	1081.794479
33	-10	-8	23.125	1083.387727
34	-8	-6	20.75	1084.721201
35	-6	-4	19	1085.794385
36	-4	-2	16	1086.496101
37	-2	0	16	1086.975958
38	0	2	15.125	1087.260161
39	2	4	15	1087.336471
40	4	6	17.25	1087.36775
41	6	8	17.5	1087.364485
42	8	10	17.375	1087.378306
43	10	12	17.625	1087.371455
44	12	14	18.875	1087.373607
45	14	16	19.375	1087.39383
46	16	18	22	1087.367069
47	18	20	23.875	1087.361907
48	20	22	25	1087.374413
49	22	24	30	1087.387013
50	24	26	41	1087.424668
51	26	28	51.375	1087.38234
52	28	30	27.375	1087.24119
── 设定点 1080 °C　夹头 100 °C　片 2「出口」　T管根 1154.1616 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	224.488985
5	-96.165678	-85.165678	660	648.21145
6	-85.165678	-75.51206	579.21708	976.175152
7	-75.51206	-68.0862	445.5516	1115.406164
8	-68.0862	-62.374	342.732	1175.956441
9	-62.374	-57.98	263.64	1204.872222
10	-57.98	-54.6	202.8	1219.676548
11	-54.6	-52	156	1227.60408
12	-52	-50	120	1231.95396
13	-50	-48	120	1234.674351
14	-48	-46	120	1236.395671
15	-46	-44	120	1237.15027
16	-44	-42	120	1236.938242
17	-42	-40	120	1235.723725
18	-40	-38	120	1233.428479
19	-38	-36	120	1229.921598
20	-36	-34	120	1225.003571
21	-34	-32	120	1218.381866
22	-32	-30	120	1209.633355
23	-30	-28	120	1198.12901
24	-28	-26	120	1179.950633
25	-26	-24	94.875	1159.803506
26	-24	-22	73.125	1144.801265
27	-22	-20	60.125	1134.580408
28	-20	-18	51	1128.869054
29	-18	-16	43	1126.093945
30	-16	-14	36.25	1126.035426
31	-14	-12	30.625	1128.044939
32	-12	-10	26.5	1131.704836
33	-10	-8	23.125	1136.600452
34	-8	-6	20.75	1141.164194
35	-6	-4	19	1145.18451
36	-4	-2	16	1147.955652
37	-2	0	16	1149.967712
38	0	2	15.125	1151.217827
39	2	4	15	1151.588427
40	4	6	17.25	1151.756037
41	6	8	17.5	1151.744461
42	8	10	17.375	1151.794483
43	10	12	17.625	1151.755003
44	12	14	18.875	1151.770603
45	14	16	19.375	1151.874761
46	16	18	22	1151.776173
47	18	20	23.875	1151.768304
48	20	22	25	1151.811329
49	22	24	30	1151.846559
50	24	26	41	1152.000241
51	26	28	51.375	1151.837934
52	28	30	27.375	1151.285083
── 设定点 1080 °C　夹头 450 °C　片 0「入口」　T管根 1118.6547 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	524.371746
5	-96.165678	-85.165678	660	770.223546
6	-85.165678	-75.51206	579.21708	966.854526
7	-75.51206	-68.0862	445.5516	1058.889461
8	-68.0862	-62.374	342.732	1102.795694
9	-62.374	-57.98	263.64	1125.478316
10	-57.98	-54.6	202.8	1137.925558
11	-54.6	-52	156	1145.060805
12	-52	-50	120	1149.282195
13	-50	-48	120	1152.1733
14	-48	-46	120	1154.32888
15	-46	-44	120	1155.777407
16	-44	-42	120	1156.530634
17	-42	-40	120	1156.581356
18	-40	-38	120	1155.899676
19	-38	-36	120	1154.427058
20	-36	-34	120	1152.067091
21	-34	-32	120	1148.671155
22	-32	-30	120	1144.016017
23	-30	-28	120	1137.757357
24	-28	-26	120	1127.415553
25	-26	-24	94.875	1114.217934
26	-24	-22	73.125	1104.259462
27	-22	-20	60.125	1098.050955
28	-20	-18	51	1095.157344
29	-18	-16	43	1094.284005
30	-16	-14	36.25	1095.272973
31	-14	-12	30.625	1097.580396
32	-12	-10	26.5	1100.913069
33	-10	-8	23.125	1104.992063
34	-8	-6	20.75	1108.644532
35	-6	-4	19	1111.785708
36	-4	-2	16	1113.931271
37	-2	0	16	1115.468207
38	0	2	15.125	1116.40407
39	2	4	15	1116.674893
40	4	6	17.25	1116.794381
41	6	8	17.5	1116.781896
42	8	10	17.375	1116.819594
43	10	12	17.625	1116.788626
44	12	14	18.875	1116.799233
45	14	16	19.375	1116.876204
46	16	18	22	1116.795648
47	18	20	23.875	1116.786187
48	20	22	25	1116.821119
49	22	24	30	1116.853571
50	24	26	41	1116.976236
51	26	28	51.375	1116.851471
52	28	30	27.375	1116.422712
── 设定点 1080 °C　夹头 450 °C　片 1「HC1|HC2」　T管根 1113.2013 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	498.857325
5	-96.165678	-85.165678	660	670.703548
6	-85.165678	-75.51206	579.21708	844.371344
7	-75.51206	-68.0862	445.5516	946.974258
8	-68.0862	-62.374	342.732	1005.981097
9	-62.374	-57.98	263.64	1041.433119
10	-57.98	-54.6	202.8	1063.552962
11	-54.6	-52	156	1077.805153
12	-52	-50	120	1087.245014
13	-50	-48	120	1094.484023
14	-48	-46	120	1100.79185
15	-46	-44	120	1106.200391
16	-44	-42	120	1110.735095
17	-42	-40	120	1114.414044
18	-40	-38	120	1117.246561
19	-38	-36	120	1119.231073
20	-36	-34	120	1120.351837
21	-34	-32	120	1120.57386
22	-32	-30	120	1119.834906
23	-30	-28	120	1118.029392
24	-28	-26	120	1114.571663
25	-26	-24	94.875	1110.19919
26	-24	-22	73.125	1106.910396
27	-22	-20	60.125	1104.978997
28	-20	-18	51	1104.217205
29	-18	-16	43	1104.165914
30	-16	-14	36.25	1104.761867
31	-14	-12	30.625	1105.80398
32	-12	-10	26.5	1107.149126
33	-10	-8	23.125	1108.666842
34	-8	-6	20.75	1109.976623
35	-6	-4	19	1111.050935
36	-4	-2	16	1111.759604
37	-2	0	16	1112.248732
38	0	2	15.125	1112.541587
39	2	4	15	1112.619846
40	4	6	17.25	1112.651861
41	6	8	17.5	1112.648257
42	8	10	17.375	1112.662524
43	10	12	17.625	1112.65532
44	12	14	18.875	1112.657532
45	14	16	19.375	1112.678552
46	16	18	22	1112.650709
47	18	20	23.875	1112.645337
48	20	22	25	1112.658345
49	22	24	30	1112.671452
50	24	26	41	1112.710624
51	26	28	51.375	1112.66659
52	28	30	27.375	1112.519753
── 设定点 1080 °C　夹头 450 °C　片 2「出口」　T管根 1152.2049 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	548.12382
5	-96.165678	-85.165678	660	862.357146
6	-85.165678	-75.51206	579.21708	1081.087933
7	-75.51206	-68.0862	445.5516	1170.071562
8	-68.0862	-62.374	342.732	1207.834493
9	-62.374	-57.98	263.64	1225.382229
10	-57.98	-54.6	202.8	1233.985307
11	-54.6	-52	156	1238.266994
12	-52	-50	120	1240.34043
13	-50	-48	120	1241.37606
14	-48	-46	120	1241.663475
15	-46	-44	120	1241.197403
16	-44	-42	120	1239.945705
17	-42	-40	120	1237.844985
18	-40	-38	120	1234.793571
19	-38	-36	120	1230.640722
20	-36	-34	120	1225.170292
21	-34	-32	120	1218.076037
22	-32	-30	120	1208.923903
23	-30	-28	120	1197.076829
24	-28	-26	120	1178.623895
25	-26	-24	94.875	1158.397884
26	-24	-22	73.125	1143.346214
27	-22	-20	60.125	1133.056876
28	-20	-18	51	1127.27329
29	-18	-16	43	1124.434692
30	-16	-14	36.25	1124.318187
31	-14	-12	30.625	1126.27724
32	-12	-10	26.5	1129.89178
33	-10	-8	23.125	1134.745425
34	-8	-6	20.75	1139.276957
35	-6	-4	19	1143.27239
36	-4	-2	16	1146.027348
37	-2	0	16	1148.028474
38	0	2	15.125	1149.272107
39	2	4	15	1149.640398
40	4	6	17.25	1149.806905
41	6	8	17.5	1149.795112
42	8	10	17.375	1149.84485
43	10	12	17.625	1149.805383
44	12	14	18.875	1149.820902
45	14	16	19.375	1149.924729
46	16	18	22	1149.826421
47	18	20	23.875	1149.818571
48	20	22	25	1149.861469
49	22	24	30	1149.896596
50	24	26	41	1150.04983
51	26	28	51.375	1149.887996
52	28	30	27.375	1149.336757
── 设定点 1150 °C　夹头 100 °C　片 0「入口」　T管根 1183.7468 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	204.825999
5	-96.165678	-85.165678	660	568.681393
6	-85.165678	-75.51206	579.21708	884.178818
7	-75.51206	-68.0862	445.5516	1035.469625
8	-68.0862	-62.374	342.732	1108.342799
9	-62.374	-57.98	263.64	1146.459593
10	-57.98	-54.6	202.8	1167.838228
11	-54.6	-52	156	1180.514714
12	-52	-50	120	1188.36888
13	-50	-48	120	1194.067349
14	-48	-46	120	1198.733134
15	-46	-44	120	1202.442781
16	-44	-42	120	1205.250529
17	-42	-40	120	1207.186356
18	-40	-38	120	1208.252292
19	-38	-36	120	1208.41619
20	-36	-34	120	1207.601683
21	-34	-32	120	1205.672289
22	-32	-30	120	1202.406187
23	-30	-28	120	1197.443298
24	-28	-26	120	1187.935774
25	-26	-24	94.875	1173.976368
26	-24	-22	73.125	1163.362354
27	-22	-20	60.125	1157.092385
28	-20	-18	51	1154.548765
29	-18	-16	43	1154.182819
30	-16	-14	36.25	1155.831025
31	-14	-12	30.625	1158.862042
32	-12	-10	26.5	1162.966058
33	-10	-8	23.125	1167.847527
34	-8	-6	20.75	1172.163082
35	-6	-4	19	1175.842517
36	-4	-2	16	1178.347102
37	-2	0	16	1180.132676
38	0	2	15.125	1181.219279
39	2	4	15	1181.541671
40	4	6	17.25	1181.6853
41	6	8	17.5	1181.676436
42	8	10	17.375	1181.720679
43	10	12	17.625	1181.68854
44	12	14	18.875	1181.700923
45	14	16	19.375	1181.786287
46	16	18	22	1181.69764
47	18	20	23.875	1181.687296
48	20	22	25	1181.725832
49	22	24	30	1181.761609
50	24	26	41	1181.896801
51	26	28	51.375	1181.759278
52	28	30	27.375	1181.28671
── 设定点 1150 °C　夹头 100 °C　片 1「HC1|HC2」　T管根 1156.1458 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	167.45185
5	-96.165678	-85.165678	660	412.076418
6	-85.165678	-75.51206	579.21708	677.243859
7	-75.51206	-68.0862	445.5516	840.447108
8	-68.0862	-62.374	342.732	936.836706
9	-62.374	-57.98	263.64	996.068572
10	-57.98	-54.6	202.8	1033.853852
11	-54.6	-52	156	1058.759482
12	-52	-50	120	1075.639848
13	-50	-48	120	1088.879694
14	-48	-46	120	1100.751302
15	-46	-44	120	1111.316132
16	-44	-42	120	1120.627838
17	-42	-40	120	1128.731102
18	-40	-38	120	1135.659978
19	-38	-36	120	1141.43543
20	-36	-34	120	1146.061618
21	-34	-32	120	1149.520175
22	-32	-30	120	1151.76122
23	-30	-28	120	1152.685222
24	-28	-26	120	1151.574525
25	-26	-24	94.875	1147.926711
26	-24	-22	73.125	1145.121201
27	-22	-20	60.125	1143.890093
28	-20	-18	51	1143.878575
29	-18	-16	43	1144.498345
30	-16	-14	36.25	1145.696903
31	-14	-12	30.625	1147.247814
32	-12	-10	26.5	1149.019219
33	-10	-8	23.125	1150.895332
34	-8	-6	20.75	1152.460612
35	-6	-4	19	1153.716265
36	-4	-2	16	1154.536167
37	-2	0	16	1155.095321
38	0	2	15.125	1155.42694
39	2	4	15	1155.518317
40	4	6	17.25	1155.556219
41	6	8	17.5	1155.553859
42	8	10	17.375	1155.569875
43	10	12	17.625	1155.562743
44	12	14	18.875	1155.565284
45	14	16	19.375	1155.58785
46	16	18	22	1155.558165
47	18	20	23.875	1155.55245
48	20	22	25	1155.566341
49	22	24	30	1155.580333
50	24	26	41	1155.622141
51	26	28	51.375	1155.575143
52	28	30	27.375	1155.418425
── 设定点 1150 °C　夹头 100 °C　片 2「出口」　T管根 1218.4316 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	235.079033
5	-96.165678	-85.165678	660	692.486052
6	-85.165678	-75.51206	579.21708	1034.903688
7	-75.51206	-68.0862	445.5516	1175.586328
8	-68.0862	-62.374	342.732	1235.364783
9	-62.374	-57.98	263.64	1263.504133
10	-57.98	-54.6	202.8	1277.818799
11	-54.6	-52	156	1285.490698
12	-52	-50	120	1289.733361
13	-50	-48	120	1292.427421
14	-48	-46	120	1294.194469
15	-46	-44	120	1295.071163
16	-44	-42	120	1295.061012
17	-42	-40	120	1294.130354
18	-40	-38	120	1292.201255
19	-38	-36	120	1289.139984
20	-36	-34	120	1284.739024
21	-34	-32	120	1278.689346
22	-32	-30	120	1270.53749
23	-30	-28	120	1259.599075
24	-28	-26	120	1241.362077
25	-26	-24	94.875	1219.673807
26	-24	-22	73.125	1203.440331
27	-22	-20	60.125	1192.711643
28	-20	-18	51	1187.049006
29	-18	-16	43	1184.586099
30	-16	-14	36.25	1185.090799
31	-14	-12	30.625	1187.813241
32	-12	-10	26.5	1192.306107
33	-10	-8	23.125	1198.122889
34	-8	-6	20.75	1203.476336
35	-6	-4	19	1208.154418
36	-4	-2	16	1211.369362
37	-2	0	16	1213.693947
38	0	2	15.125	1215.138422
39	2	4	15	1215.576593
40	4	6	17.25	1215.77627
41	6	8	17.5	1215.769986
42	8	10	17.375	1215.828432
43	10	12	17.625	1215.787705
44	12	14	18.875	1215.805739
45	14	16	19.375	1215.920779
46	16	18	22	1215.81273
47	18	20	23.875	1215.804202
48	20	22	25	1215.851481
49	22	24	30	1215.890169
50	24	26	41	1216.058873
51	26	28	51.375	1215.880673
52	28	30	27.375	1215.273748
── 设定点 1150 °C　夹头 450 °C　片 0「入口」　T管根 1183.3766 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	532.270003
5	-96.165678	-85.165678	660	803.150653
6	-85.165678	-75.51206	579.21708	1015.127258
7	-75.51206	-68.0862	445.5516	1112.147508
8	-68.0862	-62.374	342.732	1157.737842
9	-62.374	-57.98	263.64	1181.123925
10	-57.98	-54.6	202.8	1193.966575
11	-54.6	-52	156	1201.387696
12	-52	-50	120	1205.842825
13	-50	-48	120	1208.957213
14	-48	-46	120	1211.364438
15	-46	-44	120	1213.100315
16	-44	-42	120	1214.182958
17	-42	-40	120	1214.61039
18	-40	-38	120	1214.356443
19	-38	-36	120	1213.364141
20	-36	-34	120	1211.535333
21	-34	-32	120	1208.714507
22	-32	-30	120	1204.663376
23	-30	-28	120	1199.007823
24	-28	-26	120	1188.887431
25	-26	-24	94.875	1174.657563
26	-24	-22	73.125	1163.857564
27	-22	-20	60.125	1157.395432
28	-20	-18	51	1154.68078
29	-18	-16	43	1154.17832
30	-16	-14	36.25	1155.717837
31	-14	-12	30.625	1158.66803
32	-12	-10	26.5	1162.712129
33	-10	-8	23.125	1167.548658
34	-8	-6	20.75	1171.835587
35	-6	-4	19	1175.496399
36	-4	-2	16	1177.990033
37	-2	0	16	1179.769168
38	0	2	15.125	1180.852618
39	2	4	15	1181.173734
40	4	6	17.25	1181.31674
41	6	8	17.5	1181.307656
42	8	10	17.375	1181.351752
43	10	12	17.625	1181.31954
44	12	14	18.875	1181.331885
45	14	16	19.375	1181.417178
46	16	18	22	1181.328572
47	18	20	23.875	1181.318231
48	20	22	25	1181.356744
49	22	24	30	1181.392502
50	24	26	41	1181.52762
51	26	28	51.375	1181.390171
52	28	30	27.375	1180.917858
── 设定点 1150 °C　夹头 450 °C　片 1「HC1|HC2」　T管根 1177.7532 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	504.202445
5	-96.165678	-85.165678	660	694.477334
6	-85.165678	-75.51206	579.21708	884.908199
7	-75.51206	-68.0862	445.5516	996.177622
8	-68.0862	-62.374	342.732	1059.659313
9	-62.374	-57.98	263.64	1097.618294
10	-57.98	-54.6	202.8	1121.251798
11	-54.6	-52	156	1136.476304
12	-52	-50	120	1146.571396
13	-50	-48	120	1154.327553
14	-48	-46	120	1161.107321
15	-46	-44	120	1166.949013
16	-44	-42	120	1171.883549
17	-42	-40	120	1175.933453
18	-40	-38	120	1179.111301
19	-38	-36	120	1181.417342
20	-36	-34	120	1182.835819
21	-34	-32	120	1183.329254
22	-32	-30	120	1182.829436
23	-30	-28	120	1181.219121
24	-28	-26	120	1177.797863
25	-26	-24	94.875	1173.027131
26	-24	-22	73.125	1169.422996
27	-22	-20	60.125	1167.415683
28	-20	-18	51	1166.751199
29	-18	-16	43	1166.875046
30	-16	-14	36.25	1167.713988
31	-14	-12	30.625	1169.031308
32	-12	-10	26.5	1170.666301
33	-10	-8	23.125	1172.474672
34	-8	-6	20.75	1174.019713
35	-6	-4	19	1175.277636
36	-4	-2	16	1176.104738
37	-2	0	16	1176.67294
38	0	2	15.125	1177.01287
39	2	4	15	1177.106228
40	4	6	17.25	1177.144904
41	6	8	17.5	1177.142286
42	8	10	17.375	1177.158725
43	10	12	17.625	1177.151294
44	12	14	18.875	1177.153897
45	14	16	19.375	1177.177178
46	16	18	22	1177.146526
47	18	20	23.875	1177.140624
48	20	22	25	1177.154964
49	22	24	30	1177.16941
50	24	26	41	1177.212573
51	26	28	51.375	1177.164051
52	28	30	27.375	1177.002252
── 设定点 1150 °C　夹头 450 °C　片 2「出口」　T管根 1216.5909 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	557.922509
5	-96.165678	-85.165678	660	901.656553
6	-85.165678	-75.51206	579.21708	1133.918727
7	-75.51206	-68.0862	445.5516	1225.731993
8	-68.0862	-62.374	342.732	1263.951642
9	-62.374	-57.98	263.64	1281.558323
10	-57.98	-54.6	202.8	1290.218262
11	-54.6	-52	156	1294.605944
12	-52	-50	120	1296.817069
13	-50	-48	120	1298.018384
14	-48	-46	120	1298.523954
15	-46	-44	120	1298.334266
16	-44	-42	120	1297.422083
17	-42	-40	120	1295.727676
18	-40	-38	120	1293.151076
19	-38	-36	120	1289.540026
20	-36	-34	120	1284.671564
21	-34	-32	120	1278.224004
22	-32	-30	120	1269.733864
23	-30	-28	120	1258.50948
24	-28	-26	120	1240.047436
25	-26	-24	94.875	1218.30249
26	-24	-22	73.125	1202.035193
27	-22	-20	60.125	1191.253906
28	-20	-18	51	1185.53292
29	-18	-16	43	1183.017439
30	-16	-14	36.25	1183.472643
31	-14	-12	30.625	1186.150732
32	-12	-10	26.5	1190.602528
33	-10	-8	23.125	1196.380297
34	-8	-6	20.75	1201.70321
35	-6	-4	19	1206.357348
36	-4	-2	16	1209.556595
37	-2	0	16	1211.870477
38	0	2	15.125	1213.308516
39	2	4	15	1213.744387
40	4	6	17.25	1213.942966
41	6	8	17.5	1213.936461
42	8	10	17.375	1213.994624
43	10	12	17.625	1213.953907
