R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
42	8	10	17.375	434.162472
43	10	12	17.625	434.160368
44	12	14	18.875	434.160635
45	14	16	19.375	434.164876
46	16	18	22	434.159035
47	18	20	23.875	434.157895
48	20	22	25	434.160599
49	22	24	30	434.16333
50	24	26	41	434.171499
51	26	28	51.375	434.162319
52	28	30	27.375	434.131701
── 设定点 450 °C　夹头 100 °C　片 2「出口」　T管根 539.8828 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	139.978041
5	-96.165678	-85.165678	660	281.237083
6	-85.165678	-75.51206	579.21708	422.4153
7	-75.51206	-68.0862	445.5516	502.593438
8	-68.0862	-62.374	342.732	546.048335
9	-62.374	-57.98	263.64	570.194458
10	-57.98	-54.6	202.8	583.844178
11	-54.6	-52	156	591.633296
12	-52	-50	120	596.091317
13	-50	-48	120	598.968662
14	-48	-46	120	600.863293
15	-46	-44	120	601.784313
16	-44	-42	120	601.733009
17	-42	-40	120	600.702001
18	-40	-38	120	598.674016
19	-38	-36	120	595.620067
20	-36	-34	120	591.496717
21	-34	-32	120	586.24191
22	-32	-30	120	579.768512
23	-30	-28	120	571.951473
24	-28	-26	120	562.221611
25	-26	-24	94.875	555.512556
26	-24	-22	73.125	550.664958
27	-22	-20	60.125	546.346577
28	-20	-18	51	542.93462
29	-18	-16	43	540.40869
30	-16	-14	36.25	538.702275
31	-14	-12	30.625	537.756218
32	-12	-10	26.5	537.431566
33	-10	-8	23.125	537.588586
34	-8	-6	20.75	537.956105
35	-6	-4	19	538.402511
36	-4	-2	16	538.743497
37	-2	0	16	539.02302
38	0	2	15.125	539.203941
39	2	4	15	539.234403
40	4	6	17.25	539.244677
41	6	8	17.5	539.226461
42	8	10	17.375	539.232195
43	10	12	17.625	539.21506
44	12	14	18.875	539.217293
45	14	16	19.375	539.244765
46	16	18	22	539.216799
47	18	20	23.875	539.214343
48	20	22	25	539.226255
49	22	24	30	539.236067
50	24	26	41	539.279019
51	26	28	51.375	539.233726
52	28	30	27.375	539.079301
── 设定点 600 °C　夹头 100 °C　片 0「入口」　T管根 658.8549 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	143.877433
5	-96.165678	-85.165678	660	300.112986
6	-85.165678	-75.51206	579.21708	460.248875
7	-75.51206	-68.0862	445.5516	553.848831
8	-68.0862	-62.374	342.732	606.372264
9	-62.374	-57.98	263.64	636.908291
10	-57.98	-54.6	202.8	655.228377
11	-54.6	-52	156	666.520001
12	-52	-50	120	673.646529
13	-50	-48	120	678.842082
14	-48	-46	120	683.06665
15	-46	-44	120	686.343599
16	-44	-42	120	688.688955
17	-42	-40	120	690.110488
18	-40	-38	120	690.606379
19	-38	-36	120	690.163231
20	-36	-34	120	688.753081
21	-34	-32	120	686.328825
22	-32	-30	120	682.817076
23	-30	-28	120	678.10384
24	-28	-26	120	671.534303
25	-26	-24	94.875	665.864315
26	-24	-22	73.125	661.693345
27	-22	-20	60.125	658.443444
28	-20	-18	51	656.220719
29	-18	-16	43	654.79099
30	-16	-14	36.25	654.099752
31	-14	-12	30.625	654.022304
32	-12	-10	26.5	654.43905
33	-10	-8	23.125	655.232017
34	-8	-6	20.75	656.054617
35	-6	-4	19	656.830811
36	-4	-2	16	657.379668
37	-2	0	16	657.792328
38	0	2	15.125	658.045093
39	2	4	15	658.099478
40	4	6	17.25	658.120181
41	6	8	17.5	658.103515
42	8	10	17.375	658.112571
43	10	12	17.625	658.095195
44	12	14	18.875	658.097896
45	14	16	19.375	658.128125
46	16	18	22	658.094851
47	18	20	23.875	658.090783
48	20	22	25	658.104986
49	22	24	30	658.118236
50	24	26	41	658.168419
51	26	28	51.375	658.117426
52	28	30	27.375	657.942079
── 设定点 600 °C　夹头 100 °C　片 1「HC1|HC2」　T管根 593.1329 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	126.29457
5	-96.165678	-85.165678	660	222.799373
6	-85.165678	-75.51206	579.21708	334.9319
7	-75.51206	-68.0862	445.5516	410.801564
8	-68.0862	-62.374	342.732	459.43217
9	-62.374	-57.98	263.64	491.301257
10	-57.98	-54.6	202.8	512.653493
11	-54.6	-52	156	527.260671
12	-52	-50	120	537.445203
13	-50	-48	120	545.608875
14	-48	-46	120	553.090299
15	-46	-44	120	559.898011
16	-44	-42	120	566.039415
17	-42	-40	120	571.520404
18	-40	-38	120	576.344838
19	-38	-36	120	580.513775
20	-36	-34	120	584.024346
21	-34	-32	120	586.868039
22	-32	-30	120	589.028024
23	-30	-28	120	590.474108
24	-28	-26	120	591.045296
25	-26	-24	94.875	590.54557
26	-24	-22	73.125	590.149785
27	-22	-20	60.125	590.073695
28	-20	-18	51	590.212357
29	-18	-16	43	590.436131
30	-16	-14	36.25	590.749542
31	-14	-12	30.625	591.11368
32	-12	-10	26.5	591.511931
33	-10	-8	23.125	591.927979
34	-8	-6	20.75	592.271358
35	-6	-4	19	592.54844
36	-4	-2	16	592.729612
37	-2	0	16	592.854907
38	0	2	15.125	592.927192
39	2	4	15	592.942212
40	4	6	17.25	592.947523
41	6	8	17.5	592.94397
42	8	10	17.375	592.947691
43	10	12	17.625	592.94433
44	12	14	18.875	592.944817
45	14	16	19.375	592.951895
46	16	18	22	592.942199
47	18	20	23.875	592.940309
48	20	22	25	592.944804
49	22	24	30	592.949342
50	24	26	41	592.962913
51	26	28	51.375	592.947661
52	28	30	27.375	592.896793
── 设定点 600 °C　夹头 100 °C　片 2「出口」　T管根 698.7766 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	158.377824
5	-96.165678	-85.165678	660	363.288285
6	-85.165678	-75.51206	579.21708	558.210475
7	-75.51206	-68.0862	445.5516	662.098025
8	-68.0862	-62.374	342.732	715.590278
9	-62.374	-57.98	263.64	744.201989
10	-57.98	-54.6	202.8	759.910787
11	-54.6	-52	156	768.652788
12	-52	-50	120	773.530155
13	-50	-48	120	776.583747
14	-48	-46	120	778.478505
15	-46	-44	120	779.229323
16	-44	-42	120	778.836505
17	-42	-40	120	777.284394
18	-40	-38	120	774.539298
19	-38	-36	120	770.546371
20	-36	-34	120	765.224917
21	-34	-32	120	758.461263
22	-32	-30	120	750.097798
23	-30	-28	120	739.911093
24	-28	-26	120	726.840376
25	-26	-24	94.875	716.98811
26	-24	-22	73.125	709.838938
27	-22	-20	60.125	703.843846
28	-20	-18	51	699.383643
29	-18	-16	43	696.252179
30	-16	-14	36.25	694.344557
31	-14	-12	30.625	693.517291
32	-12	-10	26.5	693.564917
33	-10	-8	23.125	694.28352
34	-8	-6	20.75	695.196437
35	-6	-4	19	696.135424
36	-4	-2	16	696.818819
37	-2	0	16	697.350119
38	0	2	15.125	697.686777
39	2	4	15	697.759334
40	4	6	17.25	697.788028
41	6	8	17.5	697.765471
42	8	10	17.375	697.777172
43	10	12	17.625	697.75312
44	12	14	18.875	697.757293
45	14	16	19.375	697.799912
46	16	18	22	697.757267
47	18	20	23.875	697.7536
48	20	22	25	697.771867
49	22	24	30	697.786893
50	24	26	41	697.852614
51	26	28	51.375	697.783282
52	28	30	27.375	697.546957
── 设定点 600 °C　夹头 450 °C　片 0「入口」　T管根 664.6757 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
