F4 门(b) 圆盘区体积　W08／W06 × R48NMeshGateTests 门 a 快门的几何（盘径 28／29／30／30.25／30.75／31／31.01／32／34 × 舌半宽 30／28 × 片 0／1 × 导航／判决）
开跑 2026-09-23 20:27:07　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtMRG　写码 2026-09-23，F4（C3）
门槛（跑前写死）：圆盘区体积 Σ 份额·面积·厚度（份额 = ShellThermal.DiscZoneShare，Solve 的分区账用的同一个函数）对参考积分 VolInDisc ≤ 0.1 %（= §0.-15N 门 a 的 VolTolPct）；逐格面积／体积和账 ≤ 4u；改回按格心的圆盘区体积至少一张网格超 0.1 %（否则本门空守，判红）。
舌半宽 > 盘半径的几何不进门（与门 a 同一规矩）。
★ 审查后（F4-M1）：每个 0 < 份额 < 1 的格独立判料（R48NMeshGateTests.CellVolExact）圆内、圆外各 > 1e-9 × 格有料体积；不收整的 DiscZoneShareRaw 在这一扫描上至少一格是舍入产物（否则空守，判红）。逐格和账 4u 是算术自检，按构造不会红，不算牙。
设计	R	w	片	档	单元	切开格	参考 VolInDisc	份额账	Δ%	格心账	Δ格心%	逐格最大误差(u，自检)	不收整切开格	其中舍入产物	独立判料最小一侧份额	判读
W08	30.00	30.00	1	判决	3864	114	1811.533	1811.821	+0.0159	1812.815	+0.071	2.00	130	16	3.042e-4	过
W08	30.00	28.00	0	导航	1004	48	962.109	962.326	+0.0226	967.415	+0.552	0.00	58	10	2.764e-3	过
W08	30.00	28.00	0	判决	3706	96	962.109	962.326	+0.0226	963.076	+0.100	1.84	114	18	1.962e-3	过
W08	30.00	28.00	1	导航	1004	48	1686.336	1686.735	+0.0237	1695.553	+0.547	1.06	56	8	2.764e-3	过
W08	30.00	28.00	1	判决	3706	96	1686.336	1686.736	+0.0237	1688.033	+0.101	1.06	114	18	1.962e-3	过
W08	30.25	30.00	0	导航	1090	58	1060.669	1060.855	+0.0175	1070.562	+0.933	1.00	68	10	8.949e-5	过
W08	30.25	30.00	0	判决	3962	114	1060.669	1060.855	+0.0176	1050.260	-0.981	2.00	134	20	1.510e-5	过
W08	30.25	30.00	1	导航	1090	58	1851.677	1852.018	+0.0184	1868.802	+0.925	1.14	68	10	8.949e-5	过
W08	30.25	30.00	1	判决	3962	114	1851.677	1852.019	+0.0184	1833.699	-0.971	2.00	134	20	1.510e-5	过
W08	30.25	28.00	0	导航	1012	48	1013.710	1013.952	+0.0238	992.991	-2.044	2.00	58	10	2.073e-5	过
W08	30.25	28.00	0	判决	3790	96	1013.710	1013.952	+0.0238	1023.371	+0.953	1.84	116	20	4.146e-5	过
W08	30.25	28.00	1	导航	1012	48	1775.878	1776.321	+0.0249	1740.001	-2.020	2.00	58	10	2.073e-5	过
W08	30.25	28.00	1	判决	3790	96	1775.878	1776.321	+0.0249	1792.641	+0.944	1.06	116	20	4.146e-5	过
W08	30.75	30.00	0	导航	1106	54	1151.808	1152.019	+0.0183	1181.417	+2.571	1.00	74	20	8.449e-5	过
W08	30.75	30.00	0	判决	4066	108	1151.808	1152.019	+0.0183	1152.997	+0.103	2.00	136	28	3.198e-4	过
W08	30.75	30.00	1	导航	1106	54	2010.291	2010.677	+0.0192	2061.509	+2.548	1.14	76	22	8.449e-5	过
W08	30.75	30.00	1	判决	4066	108	2010.291	2010.678	+0.0192	2012.369	+0.103	1.14	136	28	3.198e-4	过
