轮	δ K	真残差 K	放大	max(δ,r)·放大 / 0.025	段电流 A（R）
69	7.795E-003	2.240E-003	35.872	11.185	1213.613809651696 1077.7577397270816 1024.390157355529
70	6.644E-003	2.655E-003	35.872	9.534	1213.613809651696 1077.7577397271389 1024.390157355892
71	3.080E-002	2.291E-003	35.872	44.194	1213.613809651696 1077.7603373695724 1024.390157357294
72	2.010E-003	1.590E-003	35.872	2.885	1213.613809651696 1077.7603373695538 1024.390157357167
73	1.797E-003	1.642E-003	35.872	2.578	1213.613809651696 1077.760337369562 1024.3901573572593
74	1.982E-003	1.532E-003	35.872	2.843	1213.613809651696 1077.760337369547 1024.3901573572061
75	4.127E-003	1.431E-003	35.872	5.922	1213.613809651696 1077.7603373695115 1024.3901573570229
76	1.373E-002	1.380E-003	35.872	19.706	1213.613809651696 1077.760337369385 1024.3901573563526
77	2.040E-003	1.663E-003	35.872	2.927	1213.613809651696 1077.7603373693642 1024.3901573562812
78	8.185E-003	1.775E-003	35.872	11.745	1213.613809651696 1077.7577397271411 1024.3901573561034
79	7.307E-003	2.256E-003	35.872	10.484	1213.613809651696 1077.7603373693555 1024.3901573560051
80	1.049E-002	1.907E-003	35.872	15.051	1213.613809651696 1077.7577397271075 1024.390157355724
81	2.314E-002	2.461E-003	35.872	33.201	1213.613809651696 1077.7603373694692 1024.3901573570001
82	1.365E-003	1.149E-003	35.872	1.959	1213.613809651696 1077.7603373694587 1024.390157356916
83	1.816E-002	1.225E-003	35.872	26.063	1213.613809651696 1077.7603373695838 1024.3927195647084
84	3.362E-002	4.628E-004	35.872	48.235	1213.613809651696 1077.7577397271357 1024.3901573560274
85	1.201E-002	2.314E-003	35.872	17.228	1213.613809651696 1077.7577397270293 1024.390157355304
86	2.742E-002	2.986E-003	35.872	39.344	1213.613809651696 1077.7603373694228 1024.3901573566654
87	1.587E-002	1.461E-003	35.872	22.772	1213.613809651696 1077.7603373695647 1024.39015735763
88	1.067E-002	8.963E-004	35.872	15.309	1213.613809651696 1077.7603373696616 1024.3927195649103
89	1.570E-003	5.911E-004	35.872	2.253	1213.613809651696 1077.7603373696475 1024.3927195647966
90	9.243E-004	6.619E-004	35.872	1.326	1213.613809651696 1077.760337369636 1024.3927195647466
91	2.453E-002	6.704E-004	35.872	35.196	1213.613809651696 1077.7603373698557 1024.39271956623
92	2.105E-003	1.254E-003	35.872	3.020	1213.613809651696 1077.7603373698385 1024.3927195661058
93	3.808E-004	1.142E-003	35.872	1.638	1213.613809651696 1077.7603373698344 1024.3927195660885
94	2.867E-003	1.123E-003	35.872	4.113	1213.613809651696 1077.7603373698594 1024.392719566284
95	5.780E-004	1.290E-003	35.872	1.851	1213.613809651696 1077.7603373698548 1024.3927195662632
96	2.139E-003	1.252E-003	35.872	3.069	1213.613809651696 1077.760337369837 1024.3927195661681
97	2.122E-003	1.126E-003	35.872	3.044	1213.613809651696 1077.7603373698162 1024.392719566073
98	5.983E-004	1.006E-003	35.872	1.443	1213.613809651696 1077.760337369812 1024.392719566045
99	8.046E-004	9.728E-004	35.872	1.396	1213.613809651696 1077.760337369803 1024.3927195660103
100	1.853E-004	9.279E-004	35.872	1.331	1213.613809651696 1077.760337369808 1024.3927195660126
101	1.151E-003	9.359E-004	35.872	1.651	1213.613809651696 1077.7603373698162 1024.3927195660708
102	3.576E-003	9.960E-004	35.872	5.131	1213.613809651696 1077.7603373697857 1024.3927195659048
103	4.486E-003	8.069E-004	35.872	6.437	1213.613809651696 1077.7603373698244 1024.3927195661104
104	1.056E-002	1.050E-003	35.872	15.153	1213.613809651696 1077.7603373697298 1024.3927195656347
105	1.732E-003	4.728E-004	35.872	2.485	1213.613809651696 1077.760337369713 1024.3927195655615
106	2.952E-003	3.798E-004	35.872	4.236	1213.613809651696 1077.7603373697402 1024.392719565697
107	3.684E-003	5.399E-004	35.872	5.286	1213.613809651696 1077.7603373697098 1024.3927195655247
108	2.356E-003	3.417E-004	35.872	3.380	1213.613809651696 1077.760337369686 1024.3927195654096
109	4.962E-003	2.172E-004	35.872	7.120	1213.613809651696 1077.7603373697343 1024.3927195656433
110	4.133E-003	4.817E-004	35.872	5.930	1213.613809651696 1077.7603373696943 1024.3927195654542
111	8.908E-003	2.593E-004	35.872	12.783	1213.613809651696 1077.7603373697739 1024.3927195658584
112	7.122E-005	7.436E-004	35.872	1.067	1213.613809651696 1077.7603373697716 1024.392719565852
113	3.591E-003	7.397E-004	35.872	5.153	1213.613809651696 1077.7603373697393 1024.3927195656865
114	3.007E-003	5.440E-004	35.872	4.315	1213.613809651696 1077.7603373697139 1024.392719565552
115	4.180E-003	3.799E-004	35.872	5.998	1213.613809651696 1077.7603373696788 1024.3927195653532
116	1.171E-003	1.539E-004	35.872	1.680	1213.613809651696 1077.760337369686 1024.3927195654182
117	9.957E-004	2.168E-004	35.872	1.429	1213.613809651696 1077.760337369697 1024.3927195654683
118	2.019E-003	2.713E-004	35.872	2.897	1213.613809651696 1077.7603373696784 1024.3927195653519
