格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
3785	5.5	-26.5	27.065	1061.632	0.0166	1.101	20	1.465	8.1297E-14	0	0	22877.20387
3786	5.518	-25.498	26.089	1062.183	0.01119	1.6308	20	1	5.4721E-14	0	0	49698.42363
3787	5.518	25.498	26.089	1062.183	0.01119	1.6308	20	1	5.4721E-14	0	0	49698.42363
3788	5.5	26.5	27.065	1061.632	0.0166	1.101	20	1.465	8.1297E-14	0	0	22877.20387
3789	5.5	27.5	28.045	1061.177	0.01744	1.1	20	2.445	8.9691E-14	0	0	13052.21555
3790	5.5	28.5	29.026	1060.912	0.01811	1.1	20	3.426	9.6732E-14	0	0	8976.7984
3791	5.468	29.248	29.755	1060.849	0.02001	1.1	20	4.155	1.1808E-13	0	0	6705.52548
3792	6.435	-29.15	29.852	1060.829	0.01491	1.1	20	4.252	6.5586E-14	0	0	8792.77981
3793	6.5	-28.5	29.232	1060.861	0.0124	1.1	20	3.632	4.5314E-14	0	0	12374.63712
3794	6.5	-27.5	28.258	1061.088	0.01197	1.1	20	2.658	4.2254E-14	0	0	17494.37256
3795	6.5	-26.5	27.286	1061.504	0.01126	1.1	20	1.686	3.7403E-14	0	0	29299.64545
3796	6.5	-25.5	26.315	1062.066	0.00918	1.3364	20	1	3.0159E-14	0	0	60601.08936
3797	6.591	-24.868	25.726	1062.409	0.00549	2.3472	20	1	1.8965E-14	0	0	101276.75468
3798	6.591	24.868	25.726	1062.409	0.00549	2.3472	20	1	1.8965E-14	0	0	101276.75468
3799	6.5	25.5	26.315	1062.066	0.00918	1.3364	20	1	3.0159E-14	0	0	60601.08936
3800	6.5	26.5	27.286	1061.504	0.01126	1.1	20	1.686	3.7403E-14	0	0	29299.64545
3801	6.5	27.5	28.258	1061.088	0.01197	1.1	20	2.658	4.2254E-14	0	0	17494.37256
3802	6.5	28.5	29.232	1060.861	0.0124	1.1	20	3.632	4.5314E-14	0	0	12374.63712
3803	6.435	29.15	29.852	1060.829	0.01491	1.1	20	4.252	6.5586E-14	0	0	8792.77981
3804	7.229	-29.058	29.943	1060.815	0.00475	1.1	20	4.343	6.6509E-15	0	0	27033.71544
3805	7.495	-28.493	29.463	1060.823	0.00834	1.1	20	3.863	2.0516E-14	0	0	17296.99375
3806	7.5	-27.5	28.504	1061.001	0.00824	1.1	20	2.904	2.0026E-14	0	0	23258.68496
3807	7.5	-26.5	27.541	1061.366	0.00764	1.1	20	1.941	1.7227E-14	0	0	37498.47059
3808	7.5	-25.5	26.58	1061.904	0.00684	1.1755	20	1	1.4749E-14	0	0	81273.89624
3809	7.549	-24.73	25.856	1062.339	0.00399	1.9898	20	1	8.4774E-15	0	0	139471.91476
3810	7.549	24.73	25.856	1062.339	0.00399	1.9898	20	1	8.4774E-15	0	0	139471.91476
3811	7.5	25.5	26.58	1061.904	0.00684	1.1755	20	1	1.4749E-14	0	0	81273.89624
3812	7.5	26.5	27.541	1061.366	0.00764	1.1	20	1.941	1.7227E-14	0	0	37498.47059
3813	7.5	27.5	28.504	1061.001	0.00824	1.1	20	2.904	2.0026E-14	0	0	23258.68496
3814	7.495	28.493	29.463	1060.823	0.00834	1.1	20	3.863	2.0516E-14	0	0	17296.99375
3815	7.229	29.058	29.943	1060.815	0.00475	1.1	20	4.343	6.6509E-15	0	0	27033.71544
3816	8.468	-28.389	29.625	1060.8	0.00673	1.1	20	4.025	1.3354E-14	0	0	20577.60817
3817	8.5	-27.5	28.784	1060.917	0.00571	1.1	20	3.184	9.6296E-15	0	0	30607.47454
3818	8.5	-26.5	27.83	1061.226	0.00526	1.1	20	2.23	8.156E-15	0	0	47444.42181
3819	8.5	-25.5	26.879	1061.715	0.00483	1.1106	20	1.279	6.9481E-15	0	0	89977.59776
3820	8.534	-24.567	26.007	1062.233	0.00303	1.7314	20	1	4.255E-15	0	0	183637.48125
3821	8.534	24.567	26.007	1062.233	0.00303	1.7314	20	1	4.255E-15	0	0	183637.48125
3822	8.5	25.5	26.879	1061.715	0.00483	1.1106	20	1.279	6.9481E-15	0	0	89977.59776
3823	8.5	26.5	27.83	1061.226	0.00526	1.1	20	2.23	8.156E-15	0	0	47444.42181
3824	8.5	27.5	28.784	1060.917	0.00571	1.1	20	3.184	9.6296E-15	0	0	30607.47454
3825	8.468	28.389	29.625	1060.8	0.00673	1.1	20	4.025	1.3354E-14	0	0	20577.60817
3826	9.439	-28.237	29.773	1060.787	0.00489	1.1	20	4.173	7.0571E-15	0	0	27308.24247
3827	9.5	-27.5	29.095	1060.847	0.00397	1.1	20	3.495	4.6519E-15	0	0	40131.56895
3828	9.5	-26.5	28.151	1061.095	0.00365	1.1	20	2.551	3.9332E-15	0	0	59724.80158
3829	9.5	-25.5	27.212	1061.52	0.00331	1.1001	20	1.612	3.2236E-15	0	0	104346.80852
3830	9.5	-24.5	26.277	1062.068	0.00258	1.3736	20	1	2.445E-15	0	0	215779.28567
3831	9.645	-23.856	25.732	1062.41	0.00149	2.3385	20	1	1.386E-15	0	0	373934.9046
3832	9.645	23.856	25.732	1062.41	0.00149	2.3385	20	1	1.386E-15	0	0	373934.9046
3833	9.5	24.5	26.277	1062.068	0.00258	1.3736	20	1	2.445E-15	0	0	215779.28567
3834	9.5	25.5	27.212	1061.52	0.00331	1.1001	20	1.612	3.2236E-15	0	0	104346.80852
3835	9.5	26.5	28.151	1061.095	0.00365	1.1	20	2.551	3.9332E-15	0	0	59724.80158
3836	9.5	27.5	29.095	1060.847	0.00397	1.1	20	3.495	4.6519E-15	0	0	40131.56895
3837	9.439	28.237	29.773	1060.787	0.00489	1.1	20	4.173	7.0571E-15	0	0	27308.24247
3838	10.259	-28.095	29.91	1060.782	0.00407	1.1	20	4.31	4.8928E-15	0	0	31763.67855
3839	10.496	-27.495	29.43	1060.798	0.00272	1.1	20	3.83	2.1849E-15	0	0	53448.09787
3840	10.5	-26.5	28.504	1060.977	0.00254	1.1	20	2.904	1.9091E-15	0	0	75330.19099
3841	10.5	-25.5	27.577	1061.33	0.00227	1.1	20	1.977	1.5225E-15	0	0	123822.37722
3842	10.5	-24.5	26.655	1061.846	0.00201	1.1507	20	1.055	1.2427E-15	0	0	262538.88676
3843	10.557	-23.66	25.908	1062.309	0.00115	1.891	20	1	6.7461E-16	0	0	481983.50001
3844	10.557	23.66	25.908	1062.309	0.00115	1.891	20	1	6.7461E-16	0	0	481983.50001
3845	10.5	24.5	26.655	1061.846	0.00201	1.1507	20	1.055	1.2427E-15	0	0	262538.88676
3846	10.5	25.5	27.577	1061.33	0.00227	1.1	20	1.977	1.5225E-15	0	0	123822.37722
3847	10.5	26.5	28.504	1060.977	0.00254	1.1	20	2.904	1.9091E-15	0	0	75330.19099
3848	10.496	27.495	29.43	1060.798	0.00272	1.1	20	3.83	2.1849E-15	0	0	53448.09787
3849	10.259	28.095	29.91	1060.782	0.00407	1.1	20	4.31	4.8928E-15	0	0	31763.67855
3850	11.451	-27.363	29.663	1060.776	0.00221	1.1	20	4.063	1.4357E-15	0	0	62179.08038
3851	11.5	-26.5	28.888	1060.876	0.00179	1.1	20	3.288	9.4245E-16	0	0	94751.02809
3852	11.5	-25.5	27.973	1061.155	0.00159	1.1	20	2.373	7.4859E-16	0	0	147158.41026
3853	11.5	-24.5	27.065	1061.602	0.00142	1.1016	20	1.465	5.9634E-16	0	0	267185.74977
3854	11.537	-23.425	26.112	1062.168	0.00088	1.6115	20	1	3.3303E-16	0	0	633286.8368
3855	11.537	23.425	26.112	1062.168	0.00088	1.6115	20	1	3.3303E-16	0	0	633286.8368
3856	11.5	24.5	27.065	1061.602	0.00142	1.1016	20	1.465	5.9634E-16	0	0	267185.74977
3857	11.5	25.5	27.973	1061.155	0.00159	1.1	20	2.373	7.4859E-16	0	0	147158.41026
3858	11.5	26.5	28.888	1060.876	0.00179	1.1	20	3.288	9.4245E-16	0	0	94751.02809
3859	11.451	27.363	29.663	1060.776	0.00221	1.1	20	4.063	1.4357E-15	0	0	62179.08038
3860	12.358	-27.167	29.846	1060.769	0.0017	1.1	20	4.246	8.5673E-16	0	0	77035.45323
3861	12.5	-26.5	29.3	1060.802	0.00125	1.1	20	3.7	4.6212E-16	0	0	120285.56107
3862	12.5	-25.5	28.399	1061.002	0.00112	1.1	20	2.799	3.7207E-16	0	0	177048.19662
3863	12.5	-24.5	27.505	1061.364	0.00098	1.1	20	1.905	2.8476E-16	0	0	297215.45613
3864	12.5	-23.5	26.618	1061.876	0.00082	1.1621	20	1.018	2.0787E-16	0	0	668903.33607
3865	12.57	-22.649	25.904	1062.301	0.00048	1.903	20	1	1.1822E-16	0	0	1154990.12941
3866	12.57	22.649	25.904	1062.301	0.00048	1.903	20	1	1.1822E-16	0	0	1154990.12941
3867	12.5	23.5	26.618	1061.876	0.00082	1.1621	20	1.018	2.0787E-16	0	0	668903.33607
3868	12.5	24.5	27.505	1061.364	0.00098	1.1	20	1.905	2.8476E-16	0	0	297215.45613
3869	12.5	25.5	28.399	1061.002	0.00112	1.1	20	2.799	3.7207E-16	0	0	177048.19662
3870	12.5	26.5	29.3	1060.802	0.00125	1.1	20	3.7	4.6212E-16	0	0	120285.56107
3871	12.358	27.167	29.846	1060.769	0.0017	1.1	20	4.246	8.5673E-16	0	0	77035.45323
3872	13.026	-27.012	29.989	1060.767	0.00095	1.1	20	4.389	2.6598E-16	0	0	133791.47438
3873	13.448	-26.407	29.634	1060.768	0.00098	1.1	20	4.034	2.8333E-16	0	0	140975.98929
3874	13.5	-25.5	28.853	1060.877	0.00079	1.1	20	3.253	1.8469E-16	0	0	216309.94399
3875	13.5	-24.5	27.973	1061.15	0.00069	1.1	20	2.373	1.4003E-16	0	0	340253.08491
3876	13.5	-23.5	27.102	1061.579	0.0006	1.1011	20	1.502	1.0491E-16	0	0	621223.76635
3877	13.541	-22.361	26.142	1062.146	0.00036	1.5858	20	1	5.4194E-17	0	0	1557301.61316
3878	13.541	22.361	26.142	1062.146	0.00036	1.5858	20	1	5.4194E-17	0	0	1557301.61316
3879	13.5	23.5	27.102	1061.579	0.0006	1.1011	20	1.502	1.0491E-16	0	0	621223.76635
3880	13.5	24.5	27.973	1061.15	0.00069	1.1	20	2.373	1.4003E-16	0	0	340253.08491
3881	13.5	25.5	28.853	1060.877	0.00079	1.1	20	3.253	1.8469E-16	0	0	216309.94399
3882	13.448	26.407	29.634	1060.768	0.00098	1.1	20	4.034	2.8333E-16	0	0	140975.98929
3883	13.026	27.012	29.989	1060.767	0.00095	1.1	20	4.389	2.6598E-16	0	0	133791.47438
3884	14.325	-26.179	29.842	1060.757	0.00077	1.1	20	4.242	1.7709E-16	0	0	169617.14231
3885	14.5	-25.5	29.334	1060.788	0.00056	1.1	20	3.734	9.3674E-17	0	0	264750.07701
3886	14.5	-24.5	28.469	1060.972	0.00049	1.1	20	2.869	7.117E-17	0	0	394913.63432
3887	14.5	-23.5	27.613	1061.303	0.00042	1.1	20	2.013	5.1916E-17	0	0	658492.11962
3888	14.5	-22.5	26.768	1061.78	0.00034	1.1259	20	1.168	3.5704E-17	0	0	1384789.63554
3889	14.563	-21.526	25.989	1062.224	0.00021	1.7646	20	1	2.026E-17	0	0	2686705.04924
3890	14.563	21.526	25.989	1062.224	0.00021	1.7646	20	1	2.026E-17	0	0	2686705.04924
3891	14.5	22.5	26.768	1061.78	0.00034	1.1259	20	1.168	3.5704E-17	0	0	1384789.63554
3892	14.5	23.5	27.613	1061.303	0.00042	1.1	20	2.013	5.1916E-17	0	0	658492.11962
3893	14.5	24.5	28.469	1060.972	0.00049	1.1	20	2.869	7.117E-17	0	0	394913.63432
3894	14.5	25.5	29.334	1060.788	0.00056	1.1	20	3.734	9.3674E-17	0	0	264750.07701
3895	14.325	26.179	29.842	1060.757	0.00077	1.1	20	4.242	1.7709E-16	0	0	169617.14231
3896	15.426	-25.364	29.687	1060.751	0.00045	1.1	20	4.087	5.956E-17	0	0	303510.33342
3897	15.5	-24.5	28.991	1060.836	0.00035	1.1	20	3.391	3.6256E-17	0	0	468369.50315
3898	15.5	-23.5	28.151	1061.068	0.0003	1.1	20	2.551	2.5924E-17	0	0	735660.79466
3899	15.5	-22.5	27.322	1061.436	0.00025	1.1	20	1.722	1.7998E-17	0	0	1307288.73729
3900	15.5	-21.5	26.505	1061.909	0.00019	1.2079	20	1	1.2215E-17	0	0	2862848.95201
3901	15.601	-20.647	25.878	1062.309	0.00012	1.9606	20	1	7.0377E-18	0	0	4804991.4328
3902	15.601	20.647	25.878	1062.309	0.00012	1.9606	20	1	7.0377E-18	0	0	4804991.4328
3903	15.5	21.5	26.505	1061.909	0.00019	1.2079	20	1	1.2215E-17	0	0	2862848.95201
3904	15.5	22.5	27.322	1061.436	0.00025	1.1	20	1.722	1.7998E-17	0	0	1307288.73729
3905	15.5	23.5	28.151	1061.068	0.0003	1.1	20	2.551	2.5924E-17	0	0	735660.79466
3906	15.5	24.5	28.991	1060.836	0.00035	1.1	20	3.391	3.6256E-17	0	0	468369.50315
3907	15.426	25.364	29.687	1060.751	0.00045	1.1	20	4.087	5.956E-17	0	0	303510.33342
3908	16.195	-25.126	29.893	1060.738	0.0003	1.1	20	4.293	2.6815E-17	0	0	430684.52822
3909	16.478	-24.475	29.505	1060.756	0.00026	1.1	20	3.905	1.9459E-17	0	0	555614.58673
3910	16.5	-23.5	28.714	1060.886	0.00021	1.1	20	3.114	1.3382E-17	0	0	839335.78789
3911	16.5	-22.5	27.902	1061.15	0.00018	1.1	20	2.302	9.2288E-18	0	0	1366515.00257
3912	16.5	-21.5	27.102	1061.54	0.00015	1.1013	20	1.502	6.3635E-18	0	0	2522555.01439
3913	16.5	-20.5	26.315	1062.012	0.00011	1.3386	20	1	4.3209E-18	0	0	5067131.87866
3914	16.663	-19.716	25.814	1062.372	0.00006	2.1109	20	1	1.851E-18	0	0	9721736.0994
3915	16.663	19.716	25.814	1062.372	0.00006	2.1109	20	1	1.851E-18	0	0	9721736.0994
3916	16.5	20.5	26.315	1062.012	0.00011	1.3386	20	1	4.3209E-18	0	0	5067131.87866
3917	16.5	21.5	27.102	1061.54	0.00015	1.1013	20	1.502	6.3635E-18	0	0	2522555.01439
