轮	δ K	真残差 K	放大	max(δ,r)·放大 / 0.025	段电流 A（R）
64	5.547E-003	2.247E-003	35.872	7.959	1213.613809651696 1077.762935012111 1024.392719567105
65	3.808E-003	1.949E-003	35.872	5.464	1213.613809651696 1077.7629350120778 1024.392719566918
66	3.903E-003	1.763E-003	35.872	5.600	1213.613809651696 1077.7629350121124 1024.3927195670826
67	9.781E-003	1.966E-003	35.872	14.035	1213.613809651696 1077.7629350122006 1024.3927195675537
68	1.006E-002	2.468E-003	35.872	14.442	1213.613809651696 1077.762935012112 1024.3927195670049
69	6.896E-003	1.951E-003	35.872	9.894	1213.613809651696 1077.7629350120874 1024.392719567054
70	5.844E-004	1.787E-003	35.872	2.565	1213.613809651696 1077.7629350120828 1024.392719567054
71	3.378E-003	1.769E-003	35.872	4.847	1213.613809651696 1077.7629350121138 1024.3927195671708
72	1.251E-003	1.957E-003	35.872	2.808	1213.613809651696 1077.7629350121147 1024.3927195672204
73	3.605E-002	1.975E-003	35.872	51.727	1213.613809651696 1077.760337369636 1024.3927195652332
74	3.873E-002	3.734E-004	35.872	55.580	1213.613809651696 1077.7629350121415 1024.392719567391
75	1.465E-002	2.132E-003	35.872	21.015	1213.613809651696 1077.760337369859 1024.3927195668666
76	6.527E-003	1.312E-003	35.872	9.366	1213.613809651696 1077.7629350120687 1024.3927195669316
77	6.901E-004	1.666E-003	35.872	2.390	1213.613809651696 1077.7629350120728 1024.3927195669826
78	8.119E-003	1.708E-003	35.872	11.650	1213.613809651696 1077.7603373698498 1024.3927195668507
79	3.476E-003	1.244E-003	35.872	4.987	1213.613809651696 1077.7603373698157 1024.3927195666138
80	1.096E-002	1.089E-003	35.872	15.727	1213.613809651696 1077.7603373697148 1024.3927195657989
81	7.328E-003	6.040E-004	35.872	10.515	1213.613809651696 1077.7603373696725 1024.3927195653732
82	1.775E-003	2.634E-004	35.872	2.547	1213.613809651696 1077.7603373696875 1024.392719565476
83	2.089E-002	3.641E-004	35.872	29.977	1213.613809651696 1077.7603373697511 1024.3927195663491
84	7.308E-003	1.270E-003	35.872	10.487	1213.613809651696 1077.7603373697561 1024.3927195665692
85	1.648E-002	1.641E-003	35.872	23.647	1213.613809651696 1077.7603373696384 1024.3927195654924
86	1.325E-002	8.071E-004	35.872	19.019	1213.613809651696 1077.7603373697598 1024.3927195663118
87	8.118E-003	1.102E-003	35.872	11.649	1213.613809651696 1077.760337369833 1024.3927195666483
88	5.601E-003	1.101E-003	35.872	8.037	1213.613809651696 1077.7603373698034 1024.3927195663514
89	1.165E-002	9.464E-004	35.872	16.722	1213.613809651696 1077.7603373698716 1024.3927195670249
90	6.194E-003	1.331E-003	35.872	8.888	1213.613809651696 1077.7603373698162 1024.3927195667256
91	3.923E-003	1.303E-003	35.872	5.629	1213.613809651696 1077.7603373697798 1024.3927195664564
92	1.642E-002	1.161E-003	35.872	23.560	1213.613809651696 1077.7603373696352 1024.3927195654946
93	1.978E-002	8.754E-004	35.872	28.377	1213.613809651696 1077.760337369456 1024.3927195645356
94	2.623E-002	1.187E-003	35.872	37.632	1213.613809651696 1077.7603373696938 1024.3927195656252
95	7.572E-003	5.145E-004	35.872	10.865	1213.613809651696 1077.760337369651 1024.3927195651981
96	2.257E-003	1.312E-004	35.872	3.239	1213.613809651696 1077.760337369631 1024.3927195650413
97	8.577E-004	1.271E-004	35.872	1.231	1213.613809651696 1077.7603373696347 1024.3927195650576
98	1.518E-004	8.703E-005	35.872	0.218	1213.613809651696 1077.7603373696375 1024.3927195650472
