# G2 耦合逐轮探针　2026-09-23 10:42:04　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6x　args mode=long max=45
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 45，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
35	229.0	0.000993343390746304	0.0018197370993675577	0.035633539865319065	0.06527820598473662	35.8723279354055	0.35	31	3	0	4	5.501467405596713	2.7073874228169643	-0.10565930745066159	1213.613809651696	1149.0505101786557	1114.5931072225371	1077.7603373696634	1113.5998650262027	1065.6361021774646	1024.3927195658748	1065.2734295481841	1047.292612577183	0.44395270032090817	0.7347493592668931	-0.09905445826109027	-0.10565930745066159
36	233.8	0.0031434336933671148	0.001872816200602756	0.11276228473327186	0.06718227717386395	35.87232807589004	0.35	32	3	0	4	5.501505334226977	2.707409845633947	-0.10566243745562225	1213.613809651696	1149.050491616666	1114.5899637888438	1077.760337369693	1113.5967218391452	1065.6370214240023	1024.3927195660049	1065.2743499837638	1047.292590154366	0.44383669984203394	0.7336728041485608	-0.0987801988988723	-0.10566243745562225
37	238.7	0.05674391547358937	0.002046859079882779	2.0355364757074073	0.0734256048945638	35.87233025283245	0.35	33	3	0	4	5.501233429351942	2.707757308637838	-0.10571722973918242	1213.613809651696	1149.0501944040743	1114.5332198733702	1077.7629350123502	1113.5400139495189	1065.650641714372	1024.392719568154	1065.287932507756	1047.2922426913622	0.443775439033362	0.7135949077442459	-0.09537600374354185	-0.10571722973918242
38	243.6	0.0677325303647649	0.005132074080847815	2.4297235339508676	0.1840994438722751	35.87232782927054	0.35	34	3	0	4	5.501514854398465	2.7073704825816094	-0.10565704381132816	1213.613809651696	1149.0505020229825	1114.600952403735	1077.7603373695924	1113.6077153742456	1065.6342128546758	1024.3927195655388	1065.2715281730173	1047.2926295174184	0.4438388455430936	0.7374274775795455	-0.09961229831572663	-0.10565704381132816
39	248.7	0.00039371915340780106	0.0015965651837177575	0.01412362253911574	0.05727250965250297	35.87232781760802	0.35	35	3	0	4	5.501517556879662	2.707368621112437	-0.10565715234471286	1213.613809651696	1149.0505049773544	1114.6013447607786	1077.760337369591	1113.608109093399	1065.6340916654722	1024.3927195655206	1065.271412508686	1047.2926313788876	0.4438394555691044	0.7375619205424189	-0.09964806309484091	-0.10565715234471286
40	253.7	0.0021431218242469185	0.001606015830020624	0.07687876882296597	0.05761152647753262	35.87232790650189	0.35	36	3	0	4	5.501500979418552	2.707382809518549	-0.10565688664618206	1213.613809651696	1149.0504868578075	1114.5992069646136	1077.7603373696097	1113.6059659715747	1065.6351711036423	1024.3927195655979	1065.2725025079885	1047.2926171904815	0.4438357263986111	0.7368296863317468	-0.099326396347317	-0.10565688664618206
41	258.5	0.0038390479849113035	0.0015633686066394148	0.13771558751090324	0.056081671030330564	35.87232773650392	0.35	37	3	0	4	5.501520055041738	2.707355676042198	-0.10565507436178342	1213.613809651696	1149.0505077099917	1114.603045922981	1077.7603373695715	1113.6098050195596	1065.6342783431583	1024.392719565432	1065.27160843817	1047.2926443239578	0.44384003434573505	0.7381532086832571	-0.09959289382916696	-0.10565507436178342
42	263.3	0.002310022762230801	0.00160784950321613	0.0828658936705358	0.05767730437559197	35.872327764645824	0.35	38	3	0	4	5.50146568997593	2.7073601677830084	-0.10565493401843211	1213.613809651696	1149.0505083031107	1114.6007391473981	1077.7603373695952	1113.6074949967974	1065.6353526348037	1024.3927195655165	1065.2726848247457	1047.292639832217	0.44395231226797927	0.7373631750807469	-0.0992727634858784	-0.10565493401843211
43	268.0	0.007070219809520495	0.001559672906751075	0.2536252405284723	0.055949097309226495	35.872327503446215	0.35	39	3	0	4	5.501494532343486	2.707318477582703	-0.10564910385227612	1213.613809651696	1149.0505407003325	1114.6078058219598	1077.7603373695324	1113.614565216607	1065.6328823288552	1024.3927195652354	1065.2702123210865	1047.2926815224173	0.44396162498989883	0.7397746533337886	-0.10000502753431598	-0.10564910385227612
44	273.0	0.031175624502793653	0.0016802415721031139	1.1183422434905934	0.06027417764104686	35.87232850428958	0.35	40	3	0	4	5.501381756005458	2.7074782227223295	-0.10567474155635918	1213.613809651696	1149.0504174292357	1114.576631926028	1077.760337369813	1113.5833895921041	1065.6449693421494	1024.3927195664533	1065.2822960732474	1047.2925217772777	0.44393624974788154	0.7290981740647482	-0.09643422106237134	-0.10567474155635918
45	277.8	0.003151659847162591	0.0027575534552397585	0.11305737676247092	0.09891986288189411	35.87232831114544	0.35	41	3	0	4	5.501445062701123	2.7074473948723607	-0.1056697649743033	1213.613809651696	1149.0504257317468	1114.5760470311207	1077.760337369817	1113.5828067590583	1065.6481198883405	1024.3927195663996	1065.2854477330945	1047.2925526051276	0.44382308233338397	0.7289066032876361	-0.09550730319505055	-0.1056697649743033
# 结束：Converged False　CoupleRounds 45　单元 4164　耗时 278 s
# 判据：最热铂 5.501445062701123　管根 2.7074473948723607　净流入 -0.1056697649743033
# 放大：闭式 32.61120755558676　雅可比 34.62337058804575　用 35.87232831114544　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 15.2 s
