# G2 耦合逐轮探针　2026-09-23 10:47:52　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6　args mode=long max=110 aadepth=6
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 110，AA 深度 6，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
32	212.8	0.00755547238145482	0.009480932573751488	0.2710329728511548	0.3401038626218135	35.87240600818223	0.35	31	0	0	6	5.4162423451612085	2.7198486263278028	-0.10029433417687136	1213.6111273317574	1149.0345839993774	1114.7653322236044	1077.7551420840787	1113.7722759447965	1065.8142886686323	1024.3824707275066	1065.4516646605612	1047.2801513736722	0.44998913158284704	0.8114568098381276	-0.03143642009838528	-0.10029433417687136
33	217.2	0.0048518386620344245	0.009044086422591135	0.17404712485258667	0.32443313729444345	35.87240569528892	0.35	32	0	0	6	5.416201355578778	2.719798685566957	-0.10028631123230194	1213.6111273317574	1149.0345392101528	1114.7648208803655	1077.7551420840823	1113.7716945043937	1065.8094661698844	1024.3824707276644	1065.4468128218991	1047.280201314433	0.4499799155016775	0.8112815364367407	-0.03286521338512716	-0.10028631123230194
34	221.7	0.053344557808713944	0.008960968041492379	1.9135976529262089	0.32145148664716217	35.87240632471076	0.35	33	0	0	6	5.417861613340392	2.719899147066144	-0.10030084681434298	1213.613809651696	1149.0359275142744	1114.7116743507686	1077.7551420844234	1113.718349946585	1065.8327034457357	1024.382470729302	1065.46999584292	1047.2801008529339	0.44942712033459165	0.7923731991428634	-0.026006355333485137	-0.10030084681434298
35	226.2	0.02413094162238849	0.009580287792005038	0.8656346854241197	0.3436678741707539	35.87239565574975	0.35	34	0	0	6	5.417814387014914	2.7181962786512486	-0.10072049431501973	1213.613809651696	1149.0358759044593	1114.6875434091462	1077.7577397267885	1113.6942627536373	1065.8218142864916	1024.3850329370907	1065.45908781877	1047.2818037213488	0.44941647430024195	0.7834662521196984	-0.03042495164445412	-0.10072049431501973
36	230.9	0.06191713516341224	0.00898603214227478	2.22111670852761	0.32235060749979194	35.872407576119585	0.35	35	0	0	6	5.416165234179516	2.720098883923356	-0.10033237669735351	1213.6111273317574	1149.0344997320065	1114.7494605443096	1077.7551420842183	1113.7561778112943	1065.822237374117	1024.382470728085	1065.4595161048294	1047.2799011160766	0.44997175176506843	0.806008008556036	-0.02908847606361417	-0.10033237669735351
37	235.4	0.05611691414037523	0.00910725021935832	2.0130487951139746	0.32669898838379285	35.87240720468658	0.35	36	0	0	6	5.416306779498427	2.720039599856591	-0.10032421838323055	1213.6111273317574	1149.034654413721	1114.8054620922405	1077.7525444415683	1113.8122947254346	1065.7805701413017	1024.3824707267227	1065.4179532187427	1047.2799604001434	0.45000365237103	0.8258483321496385	-0.04078572462952783	-0.10032421838323055
38	239.9	0.08804398195798058	0.011162772795614728	3.1583462805363474	0.4004351138539844	35.872369812211396	0.35	37	0	0	6	5.4185565347770535	2.714071395321753	-0.10075149211873524	1213.613809651696	1149.036686935166	1114.730431273761	1077.75514208425	1113.7375679865047	1065.6925261593437	1024.3875951452878	1065.330030233334	1047.2859286046782	0.44958376721647403	0.7988021097595877	-0.06859379442387555	-0.10075149211873524
39	244.2	0.08688932701261365	0.0071220750155589485	3.116929419173604	0.2554859832017617	35.872408342179035	0.35	38	0	0	6	5.4163788262915205	2.7202211544404236	-0.10035407452282064	1213.6111273317574	1149.0347331471185	1114.8173206007737	1077.7525444414614	1113.824087103053	1065.764262779268	1024.3824707265708	1065.4016061900152	1047.2797788455596	0.45001989057862934	0.8299045243588165	-0.0456025769889994	-0.10035407452282064
40	248.7	0.021159366047186268	0.011785614390191768	0.7590375013821775	0.42277841779548875	35.8724122305693	0.35	39	0	0	6	5.416337726248003	2.7208417783556342	-0.10045169483701792	1213.6111273317574	1149.034688234255	1114.8384799668208	1077.7525444412727	1113.8451892733046	1065.7691946695818	1024.3824707254012	1065.4065172641708	1047.2791582216444	0.4500106365462293	0.8371575418629856	-0.04414584122010942	-0.10045169483701792
41	253.3	0.008711270887033606	0.012931295435009815	0.31249428312901145	0.4638767350132182	35.87241025808843	0.35	40	0	0	6	5.4163677782203195	2.7205269518144632	-0.10040084421987039	1213.6111273317574	1149.0347210814198	1114.8411529879772	1077.75254444125	1113.847884197689	1065.7604833986948	1024.382470725498	1065.3978163981774	1047.2794730481855	0.45001743397414634	0.8380738086015498	-0.04671889205150753	-0.10040084421987039
