轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
20	0.013537294517391274	0.05490409358708348	35.87243039546119	78.78173102514157	0.025	78.78173102514157	0.39374999999999993		1213.6084681478808 1077.7296690390924 1024.3753458740957	907
21	0.020023200802143037	0.054029063537882394	35.872429248426506	77.52615036485705	0.025	77.52615036485705	0.19687499999999997		1213.608565702353 1077.7303172068457 1024.3757213223337	935
22	0.009802779361280045	0.05277832057208798	35.87242869659493	75.73146165793021	0.025	75.73146165793021	0.19687499999999997		1213.6086143277807 1077.730635116961 1024.3759054967418	961
23	0.009700491404601053	0.05219036807079647	35.87242814220387	74.8878091333927	0.025	74.8878091333927	0.19687499999999997		1213.6086621993663 1077.7309495150926 1024.3760874646628	985
24	0.009599156631111327	0.05161588076134649	35.872427594995976	74.06347781453391	0.025	74.06347781453391	0.19687499999999997		1213.608709397067 1077.7312604868362 1024.3762673043714	1007
25	0.009499115528114999	0.05105316086746825	35.872427061728	73.25603157955683	0.025	73.25603157955683	0.19687499999999997		1213.6087551138803 1077.7315674907645 1024.3764445052523	1031
26	0.009399888001325962	0.050501185349730804	35.87242653233154	72.46400245015504	0.025	72.46400245015504	0.2953125		1213.6088005128336 1077.7318713857967 1024.3766198534126	1056
27	0.01395289017068535	0.04995865248542941	35.872425735384475	71.6855220449379	0.025	71.6855220449379	0.15		1213.6088680282985 1077.7323225443674 1024.3768800513608	1079
28	0.006976174872761476	0.04915812809394993	35.87242533886784	70.53685119394882	0.025	70.53685119394882	0.15		1213.6089019065057 1077.7325481833636 1024.3770101075334	1099
29	0.006920765665427098	0.04876058375270986	35.87242495153477	69.9664152504844	0.025	69.9664152504844	0.15		1213.6089355394697 1077.7327720380192 1024.37713909246	1120
30	0.00686574885344271	0.04836726185521911	35.87242456130034	69.40203808552029	0.025	69.40203808552029	0.15		1213.6089689016198 1077.7329941011606 1024.3772669833281	1134
31	0.0068112090077647736	0.04797792143040169	35.87242417867969	68.84337395050945	0.025	68.84337395050945	0.15		1213.609002039557 1077.733214420015 1024.3773938314885	1146
32	0.006757063319810186	0.047592442223503895	35.872423802222094	68.29025028897203	0.025	68.29025028897203	0.22499999999999998		1213.6090349240073 1077.7334329849575 1024.377519620321	1160
33	0.010055022365122568	0.047210639209879446	35.87242323822552	67.74240124335842	0.025	67.74240124335842	0.15		1213.6090838702037 1077.7337582209473 1024.3777067199003	1172
34	0.00662337670019042	0.04664326775287009	35.87242286454423	66.92828098460461	0.025	66.92828098460461	0.15		1213.6091161208553 1077.7339724510712 1024.3778298817358	1180
35	0.006570764301613963	0.04627015429014136	35.87242249046941	66.39290093580627	0.025	66.39290093580627	0.15		1213.6091481193016 1077.734184973695 1024.3779520085218	1187
36	0.006518527298794652	0.04590039544814317	35.87242212234872	65.86233444394102	0.025	65.86233444394102	0.15		1213.6091805267806 1077.734396274094 1024.3780735555042	1195
37	0.006466622419793566	0.04553386342968224	35.87242175887515	65.3363981304233	0.025	65.3363981304233	0.15		1213.6092118754264 1077.734605308007 1024.378193540634	1202
38	0.006415305241262104	0.04517040633504621	35.872421394835385	64.81487402506878	0.025	64.81487402506878	0.22499999999999998		1213.6092430094184 1077.7348126991926 1024.3783125387897	1208
39	0.009546325391511346	0.04481015062606275	35.872420854571516	64.29794327259457	0.025	64.29794327259457	0.15		1213.6092903921394 1077.7351220513565 1024.3784902354555	1212
40	0.006288331029736582	0.04427419212674977	35.872420499214904	63.52889748935189	0.025	63.52889748935189	0.15		1213.6093207172462 1077.7353251775496 1024.378606610336	1217
