轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
25	0.008938237146594474	0.04804451462700854	35.87211593995288	68.93833595915248	0.025	68.93833595915248	0.19687499999999997		1213.6074237244302 1077.729633283719 1024.3737721613443	942
26	0.008844971637472554	0.04752398795631052	35.872115508683564	68.19143941608229	0.025	68.19143941608229	0.2953125		1213.6074667812786 1077.7299162068293 1024.3739167605825	953
27	0.013128958362131016	0.0470126744648951	35.87211486930011	67.45776234870917	0.025	67.45776234870917	0.15		1213.6075307128801 1077.7303361499446 1024.3741312415004	971
28	0.006564328659351304	0.04625820239903078	35.87211455030162	66.37518141396276	0.025	66.37518141396276	0.15		1213.6075626819538 1077.7305460994025 1024.3742383557947	985
29	0.00651215726134069	0.045883800698447885	35.8721142342443	65.83795760624083	0.025	65.83795760624083	0.15		1213.6075944358456 1077.730754397615 1024.3743445798773	1002
30	0.0064603988796534395	0.04551338785495318	35.87211392252229	65.30645736531291	0.025	65.30645736531291	0.15		1213.6076258950545 1077.7309609998897 1024.3744498690903	1017
31	0.006409052850813168	0.04514677855627269	35.8721136116324	64.78041478279293	0.025	64.78041478279293	0.15		1213.6076571440074 1077.731165978713 1024.374554282559	1028
32	0.006358192493507886	0.04478381462354264	35.8721133035093	64.25960289356313	0.025	64.25960289356313	0.22499999999999998		1213.6076881396946 1077.7313693177407 1024.374657804147	1033
33	0.009461369991868196	0.04442443492348502	35.87211284541686	63.7439337067653	0.025	63.7439337067653	0.15		1213.6077342067613 1077.7316718432144 1024.3748117188873	1039
34	0.006232431009038919	0.04389030705760888	35.872112544075826	62.977521374583645	0.025	62.977521374583645	0.15		1213.6077645918695 1077.7318711381743 1024.374913041828	1045
35	0.006182849554079439	0.04353919200798373	35.87211224536922	62.473711311322994	0.025	62.473711311322994	0.15		1213.607794694758 1077.7320688089706 1024.3750134704312	1053
36	0.006133708962579476	0.04319116276087698	35.87211194928341	61.97432903111598	0.025	61.97432903111598	0.15		1213.6078245647827 1077.7322649039334 1024.3751130450032	1060
37	0.006084960813495854	0.042846197309245326	35.87211165779729	61.47934295957048	0.025	61.47934295957048	0.15		1213.6078542006112 1077.7324594332547 1024.3752117721942	1067
38	0.006036599125991415	0.04250422852646807	35.87211136644364	60.98865676984933	0.025	60.98865676984933	0.22499999999999998		1213.607883621125 1077.732652421762 1024.3753096667383	1074
39	0.008982933778952429	0.04216519337342106	35.872110933330035	60.50217976866691	0.025	60.50217976866691	0.15		1213.607927366538 1077.7329395651382 1024.3754552301616	1078
40	0.005917230094155457	0.04166095864343333	35.87211064845578	59.77866072711923	0.025	59.77866072711923	0.15		1213.6079561867446 1077.7331287009936 1024.3755510303633	1083
