轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
13	0.1930776399451588	0.054666676921215185	35.87211117969146	277.04410265700693	0.025	277.04410265700693	0.35	Anderson：接受 12／丢弃 0／重启 0，末端深度 4	1213.6078782677102 1077.7321689096218 1024.3749108975487	637
14	0.5557911224163945	0.04755559065893067	35.87208228653099	797.4953950977729	0.025	797.4953950977729	0.35	Anderson：接受 13／丢弃 0／重启 0，末端深度 4	1213.6105870481429 1077.7500201901914 1024.3846327276635	664
15	0.3404254841600505	0.014936494885432694	35.87206479121568	488.4706009748119	0.025	488.4706009748119	0.35	Anderson：接受 14／丢弃 0／重启 0，末端深度 4	1213.6122451021045 1077.7609410393973 1024.3905773975066	698
16	0.06174240603013459	0.008329883592978149	35.872068313574204	88.59311227829694	0.025	88.59311227829694	0.35	Anderson：接受 15／丢弃 0／重启 0，末端深度 4	1213.6119469779574 1077.7589598461022 1024.389476888515	740
17	0.060182711605648365	0.004251504369221948	35.872071813515845	86.35514210599726	0.025	86.35514210599726	0.35	Anderson：接受 16／丢弃 0／重启 0，末端深度 4	1213.6116568588475 1077.7570134411171 1024.3883320284783	777
18	0.015024571573121648	0.002525604179027141	35.87207095954336	21.558499904310306	0.025	21.558499904310306	0.35	Anderson：接受 17／丢弃 0／重启 0，末端深度 4	1213.6117299199304 1077.7574991910797 1024.3886214387333	813
19	0.042292602792713296	0.002360851137609643	35.872069872006186	60.684928097968616	0.025	60.684928097968616	0.35	Anderson：接受 18／丢弃 0／重启 0，末端深度 4	1213.6119370267388 1077.7587931236312 1024.388939914712	842
20	0.12556308131570404	0.0037715078387918766	35.87207768717817	180.16834430393618	0.025	180.16834430393618	0.35	Anderson：接受 19／丢弃 0／重启 0，末端深度 4	1213.6113244500234 1077.7546938994433 1024.3863817378185	879
21	0.12101021987018612	0.0033189562943789497	35.87206665882108	173.63546694327647	0.025	173.63546694327647	0.35	Anderson：接受 20／丢弃 0／重启 0，末端深度 4	1213.6119129007352 1077.7588088204332 1024.3899076352398	904
22	0.09479899307939377	0.003778569196811077	35.872078464213544	136.025476722898	0.025	136.025476722898	0.35	Anderson：接受 21／丢弃 0／重启 0，末端深度 4	1213.6114525407384 1077.7554455991917 1024.386255658426	923
23	0.01661339522547678	0.001817390367250482	35.872079177423075	23.838281157365017	0.025	23.838281157365017	0.35	Anderson：接受 22／丢弃 0／重启 0，末端深度 4	1213.6115333391303 1077.7559100860192 1024.3861090658795	934
24	0.01398807448754269	0.0009294759586282453	35.87207889397763	20.07125246367868	0.025	20.07125246367868	0.35	Anderson：接受 23／丢弃 0／重启 0，末端深度 4	1213.6116012857342 1077.7563394324463 1024.3862237889516	946
25	0.004064701547576988	0.0001490627680595935	35.872078604305656	5.832371736708982	0.025	5.832371736708982	0.35	Anderson：接受 24／丢弃 0／重启 0，末端深度 4	1213.6116209147212 1077.7564738567864 1024.3863189028434	960
26	0.0021450647359415598	0.0001550985393805604	35.872078441360685	3.077917218779691	0.025	3.077917218779691	0.35	Anderson：接受 25／丢弃 0／重启 0，末端深度 4	1213.6116149045413 1077.756444385762 1024.3863635753673	981
27	0.0011476273091375333	4.5238381517265225E-05	35.87207833387666	1.6467110692591072	0.025	1.6467110692591072	0.35	Anderson：接受 26／丢弃 0／重启 0，末端深度 4	1213.6116128811711 1077.75643722127 1024.3863941095221	1000
28	0.00021590994879261416	1.440334995095327E-05	35.87207835201303	0.309805544002711	0.025	0.309805544002711	0.35	Anderson：接受 27／丢弃 0／重启 0，末端深度 4	1213.6116133895832 1077.7564393835562 1024.3863889993615	1016
